guess,model,year,month,user_id
0,logistic_regression,2023,3,4074
0,logistic_regression,2023,1,4074
0,logistic_regression,2023,1,7643
0,logistic_regression,2023,1,7643
0,logistic_regression,2023,3,15895
0,logistic_regression,2023,3,583
0,logistic_regression,2023,1,583
0,logistic_regression,2023,2,10173
1,logistic_regression,2023,1,15047
0,logistic_regression,2023,2,2875
0,logistic_regression,2023,3,2875
0,logistic_regression,2023,2,3122
0,logistic_regression,2023,3,3122
0,logistic_regression,2023,1,3122
0,logistic_regression,2023,3,8549
0,logistic_regression,2023,3,9924
0,logistic_regression,2023,1,9924
0,logistic_regression,2023,2,13188
0,logistic_regression,2023,3,13188
0,logistic_regression,2023,3,13736
0,logistic_regression,2023,3,14023
0,logistic_regression,2023,1,16902
1,logistic_regression,2023,3,16902
0,logistic_regression,2023,2,17407
0,logistic_regression,2023,3,19060
0,logistic_regression,2023,2,3378
0,logistic_regression,2023,1,4817
0,logistic_regression,2023,3,4817
0,logistic_regression,2023,3,12664
0,logistic_regression,2023,3,12664
0,logistic_regression,2023,1,14176
0,logistic_regression,2023,3,14176
0,logistic_regression,2023,2,14176
0,logistic_regression,2023,2,15411
0,logistic_regression,2023,3,15411
0,logistic_regression,2023,1,15411
0,logistic_regression,2023,3,3117
0,logistic_regression,2023,2,5637
0,logistic_regression,2023,3,7786
0,logistic_regression,2023,3,9938
0,logistic_regression,2023,2,13772
0,logistic_regression,2023,1,15470
1,logistic_regression,2023,3,17674
0,logistic_regression,2023,3,17674
0,logistic_regression,2023,3,17954
0,logistic_regression,2023,3,1657
0,logistic_regression,2023,1,2682
0,logistic_regression,2023,2,7272
0,logistic_regression,2023,2,7272
0,logistic_regression,2023,3,7272
0,logistic_regression,2023,1,7272
0,logistic_regression,2023,2,12398
0,logistic_regression,2023,3,12398
0,logistic_regression,2023,2,13209
0,logistic_regression,2023,3,13209
0,logistic_regression,2023,1,14439
0,logistic_regression,2023,1,18423
0,logistic_regression,2023,3,837
0,logistic_regression,2023,3,1319
0,logistic_regression,2023,1,6764
0,logistic_regression,2023,2,6764
0,logistic_regression,2023,2,6764
0,logistic_regression,2023,2,8473
0,logistic_regression,2023,1,10875
0,logistic_regression,2023,2,10875
0,logistic_regression,2023,1,11138
0,logistic_regression,2023,3,13784
0,logistic_regression,2023,1,16630
1,logistic_regression,2023,2,8342
1,logistic_regression,2023,2,13898
0,logistic_regression,2023,3,13898
0,logistic_regression,2023,1,14824
0,logistic_regression,2023,1,14824
0,logistic_regression,2023,2,19542
0,logistic_regression,2023,2,19542
0,logistic_regression,2023,2,19572
0,logistic_regression,2023,2,19572
0,logistic_regression,2023,1,4276
0,logistic_regression,2023,2,11460
0,logistic_regression,2023,1,13297
0,logistic_regression,2023,3,16267
0,logistic_regression,2023,3,18103
0,logistic_regression,2023,3,19166
0,logistic_regression,2023,1,19916
0,logistic_regression,2023,1,19916
0,logistic_regression,2023,1,378
0,logistic_regression,2023,3,378
0,logistic_regression,2023,2,4788
0,logistic_regression,2023,1,8327
1,logistic_regression,2023,1,19215
0,logistic_regression,2023,3,19390
0,logistic_regression,2023,2,2229
0,logistic_regression,2023,1,3635
0,logistic_regression,2023,2,4923
0,logistic_regression,2023,1,5774
0,logistic_regression,2023,3,8498
0,logistic_regression,2023,2,8498
0,logistic_regression,2023,3,8498
0,logistic_regression,2023,3,14051
0,logistic_regression,2023,1,14499
0,logistic_regression,2023,1,14499
0,logistic_regression,2023,2,15194
0,logistic_regression,2023,2,15194
0,logistic_regression,2023,3,20061
0,logistic_regression,2023,3,358
1,logistic_regression,2023,1,4307
0,logistic_regression,2023,1,4307
0,logistic_regression,2023,2,6449
0,logistic_regression,2023,1,7904
0,logistic_regression,2023,1,9764
0,logistic_regression,2023,3,12008
0,logistic_regression,2023,3,13728
0,logistic_regression,2023,2,6237
0,logistic_regression,2023,1,6237
0,logistic_regression,2023,3,7585
0,logistic_regression,2023,1,11780
0,logistic_regression,2023,1,13449
0,logistic_regression,2023,1,14273
0,logistic_regression,2023,1,14888
0,logistic_regression,2023,1,17208
0,logistic_regression,2023,3,19444
0,logistic_regression,2023,1,19533
0,logistic_regression,2023,1,188
0,logistic_regression,2023,3,1202
0,logistic_regression,2023,2,1337
0,logistic_regression,2023,3,1337
0,logistic_regression,2023,2,3943
0,logistic_regression,2023,3,4326
0,logistic_regression,2023,1,4326
0,logistic_regression,2023,3,4326
0,logistic_regression,2023,2,9092
0,logistic_regression,2023,1,9092
0,logistic_regression,2023,2,17938
0,logistic_regression,2023,3,19502
0,logistic_regression,2023,2,19564
0,logistic_regression,2023,2,1288
0,logistic_regression,2023,2,3709
0,logistic_regression,2023,3,3709
0,logistic_regression,2023,2,3932
0,logistic_regression,2023,1,4509
0,logistic_regression,2023,1,7017
0,logistic_regression,2023,2,8358
0,logistic_regression,2023,1,10974
0,logistic_regression,2023,3,11026
0,logistic_regression,2023,1,13809
0,logistic_regression,2023,1,13809
0,logistic_regression,2023,3,16928
0,logistic_regression,2023,2,18253
0,logistic_regression,2023,1,391
0,logistic_regression,2023,1,1926
0,logistic_regression,2023,2,4236
0,logistic_regression,2023,1,4236
0,logistic_regression,2023,3,5318
0,logistic_regression,2023,3,5318
0,logistic_regression,2023,3,7521
0,logistic_regression,2023,2,8204
0,logistic_regression,2023,1,10863
0,logistic_regression,2023,2,12552
0,logistic_regression,2023,1,12868
0,logistic_regression,2023,1,18803
0,logistic_regression,2023,3,18803
0,logistic_regression,2023,1,2747
0,logistic_regression,2023,3,4547
0,logistic_regression,2023,1,4547
0,logistic_regression,2023,1,4950
0,logistic_regression,2023,3,4950
0,logistic_regression,2023,1,4950
0,logistic_regression,2023,1,4994
0,logistic_regression,2023,3,11952
0,logistic_regression,2023,1,11952
0,logistic_regression,2023,2,13806
0,logistic_regression,2023,1,17050
0,logistic_regression,2023,1,17245
0,logistic_regression,2023,3,19178
0,logistic_regression,2023,2,19841
0,logistic_regression,2023,3,19841
0,logistic_regression,2023,1,6363
0,logistic_regression,2023,2,6827
0,logistic_regression,2023,3,6827
0,logistic_regression,2023,1,19641
0,logistic_regression,2023,3,3324
0,logistic_regression,2023,1,14370
0,logistic_regression,2023,3,14370
0,logistic_regression,2023,1,16648
0,logistic_regression,2023,1,19301
0,logistic_regression,2023,1,19301
0,logistic_regression,2023,3,2330
0,logistic_regression,2023,3,3487
0,logistic_regression,2023,2,6864
0,logistic_regression,2023,3,9754
0,logistic_regression,2023,3,9754
0,logistic_regression,2023,1,10723
0,logistic_regression,2023,1,11041
0,logistic_regression,2023,2,11041
0,logistic_regression,2023,1,12330
0,logistic_regression,2023,1,478
0,logistic_regression,2023,2,2381
0,logistic_regression,2023,3,7252
0,logistic_regression,2023,1,7419
0,logistic_regression,2023,2,7419
0,logistic_regression,2023,2,8170
0,logistic_regression,2023,2,12489
0,logistic_regression,2023,1,15310
0,logistic_regression,2023,2,19932
0,logistic_regression,2023,3,19932
0,logistic_regression,2023,1,2770
0,logistic_regression,2023,2,3209
0,logistic_regression,2023,2,5752
0,logistic_regression,2023,2,5752
0,logistic_regression,2023,1,6831
0,logistic_regression,2023,2,6831
0,logistic_regression,2023,2,8428
0,logistic_regression,2023,2,8428
0,logistic_regression,2023,1,11702
0,logistic_regression,2023,1,12028
0,logistic_regression,2023,1,14476
1,logistic_regression,2023,1,15152
0,logistic_regression,2023,2,15368
0,logistic_regression,2023,2,15368
0,logistic_regression,2023,1,15368
0,logistic_regression,2023,1,19587
0,logistic_regression,2023,3,19587
0,logistic_regression,2023,3,2603
1,logistic_regression,2023,1,2872
0,logistic_regression,2023,3,3828
0,logistic_regression,2023,1,3876
0,logistic_regression,2023,1,3876
0,logistic_regression,2023,1,4942
0,logistic_regression,2023,3,6971
0,logistic_regression,2023,1,6971
0,logistic_regression,2023,1,15948
0,logistic_regression,2023,1,16302
0,logistic_regression,2023,2,19016
0,logistic_regression,2023,2,19016
0,logistic_regression,2023,2,19397
0,logistic_regression,2023,3,2875
0,logistic_regression,2023,3,3879
0,logistic_regression,2023,3,10074
0,logistic_regression,2023,1,17407
0,logistic_regression,2023,2,17407
0,logistic_regression,2023,1,17674
0,logistic_regression,2023,1,17736
0,logistic_regression,2023,3,13336
0,logistic_regression,2023,1,19166
0,logistic_regression,2023,3,7828
0,logistic_regression,2023,1,5774
0,logistic_regression,2023,2,8498
0,logistic_regression,2023,1,8498
0,logistic_regression,2023,2,2924
0,logistic_regression,2023,3,4270
0,logistic_regression,2023,2,8277
0,logistic_regression,2023,3,12667
0,logistic_regression,2023,3,12635
0,logistic_regression,2023,1,3943
0,logistic_regression,2023,1,1076
0,logistic_regression,2023,3,2747
0,logistic_regression,2023,1,2747
0,logistic_regression,2023,2,4600
0,logistic_regression,2023,3,4600
0,logistic_regression,2023,2,16648
0,logistic_regression,2023,1,19301
0,logistic_regression,2023,3,478
0,logistic_regression,2023,2,12489
0,logistic_regression,2023,2,11702
0,logistic_regression,2023,2,17639
0,logistic_regression,2023,3,19397
0,logistic_regression,2023,1,10102
0,logistic_regression,2023,3,19397
0,logistic_regression,2023,2,207
0,logistic_regression,2023,2,16242
0,logistic_regression,2023,3,16242
0,logistic_regression,2023,2,10031
0,logistic_regression,2023,1,13064
0,logistic_regression,2023,2,3468
0,logistic_regression,2023,2,3468
0,logistic_regression,2023,3,3147
0,logistic_regression,2023,3,18228
0,logistic_regression,2023,3,18228
0,logistic_regression,2023,1,210
0,logistic_regression,2023,3,3736
0,logistic_regression,2023,1,6238
0,logistic_regression,2023,2,12000
0,logistic_regression,2023,3,13066
0,logistic_regression,2023,2,17550
0,logistic_regression,2023,2,17829
0,logistic_regression,2023,3,17829
0,logistic_regression,2023,3,4930
0,logistic_regression,2023,3,6588
0,logistic_regression,2023,1,6588
0,logistic_regression,2023,1,7154
0,logistic_regression,2023,3,7154
1,logistic_regression,2023,2,8738
