,user_id,year,month,guess,ground_truth,model
0,4074.0,2023.0,3.0,0.0,1.0,logistic_regression
1,4074.0,2023.0,1.0,0.0,0.0,logistic_regression
2,7643.0,2023.0,1.0,0.0,0.0,logistic_regression
3,7643.0,2023.0,1.0,0.0,0.0,logistic_regression
4,14848.0,2023.0,3.0,0.0,1.0,logistic_regression
5,18214.0,2023.0,1.0,0.0,1.0,logistic_regression
6,18501.0,2023.0,1.0,0.0,1.0,logistic_regression
7,1944.0,2023.0,1.0,0.0,1.0,logistic_regression
8,1944.0,2023.0,1.0,0.0,1.0,logistic_regression
9,11621.0,2023.0,3.0,0.0,1.0,logistic_regression
10,11621.0,2023.0,1.0,0.0,0.0,logistic_regression
11,5945.0,2023.0,1.0,0.0,1.0,logistic_regression
12,9065.0,2023.0,3.0,0.0,1.0,logistic_regression
13,15895.0,2023.0,3.0,0.0,1.0,logistic_regression
14,17778.0,2023.0,1.0,0.0,1.0,logistic_regression
15,583.0,2023.0,3.0,0.0,1.0,logistic_regression
16,583.0,2023.0,1.0,0.0,0.0,logistic_regression
17,8001.0,2023.0,1.0,0.0,1.0,logistic_regression
18,10173.0,2023.0,2.0,0.0,1.0,logistic_regression
19,15047.0,2023.0,1.0,0.0,1.0,logistic_regression
20,16245.0,2023.0,3.0,0.0,1.0,logistic_regression
21,7323.0,2023.0,1.0,0.0,0.0,logistic_regression
22,7323.0,2023.0,1.0,0.0,0.0,logistic_regression
23,138.0,2023.0,3.0,0.0,0.0,logistic_regression
24,138.0,2023.0,3.0,0.0,0.0,logistic_regression
25,861.0,2023.0,1.0,0.0,0.0,logistic_regression
26,1683.0,2023.0,3.0,0.0,0.0,logistic_regression
27,1683.0,2023.0,1.0,0.0,0.0,logistic_regression
28,2173.0,2023.0,1.0,0.0,0.0,logistic_regression
29,2173.0,2023.0,2.0,0.0,0.0,logistic_regression
30,2875.0,2023.0,2.0,0.0,0.0,logistic_regression
31,2875.0,2023.0,3.0,0.0,0.0,logistic_regression
32,3122.0,2023.0,2.0,0.0,0.0,logistic_regression
33,3122.0,2023.0,3.0,0.0,0.0,logistic_regression
34,3122.0,2023.0,1.0,0.0,0.0,logistic_regression
35,4951.0,2023.0,1.0,0.0,0.0,logistic_regression
36,7587.0,2023.0,2.0,0.0,0.0,logistic_regression
37,7672.0,2023.0,2.0,0.0,0.0,logistic_regression
38,8359.0,2023.0,1.0,0.0,0.0,logistic_regression
39,8359.0,2023.0,1.0,0.0,0.0,logistic_regression
40,8359.0,2023.0,1.0,0.0,0.0,logistic_regression
41,8463.0,2023.0,1.0,0.0,0.0,logistic_regression
42,8549.0,2023.0,3.0,0.0,0.0,logistic_regression
43,9924.0,2023.0,3.0,0.0,0.0,logistic_regression
44,9924.0,2023.0,1.0,0.0,0.0,logistic_regression
45,10015.0,2023.0,3.0,0.0,0.0,logistic_regression
46,10545.0,2023.0,1.0,0.0,0.0,logistic_regression
47,11415.0,2023.0,1.0,0.0,0.0,logistic_regression
48,13188.0,2023.0,2.0,0.0,0.0,logistic_regression
49,13188.0,2023.0,3.0,0.0,0.0,logistic_regression
50,13673.0,2023.0,3.0,0.0,0.0,logistic_regression
51,13736.0,2023.0,3.0,0.0,0.0,logistic_regression
52,13758.0,2023.0,1.0,0.0,0.0,logistic_regression
53,14023.0,2023.0,3.0,0.0,0.0,logistic_regression
54,15520.0,2023.0,3.0,0.0,0.0,logistic_regression
55,15812.0,2023.0,3.0,0.0,0.0,logistic_regression
56,16174.0,2023.0,1.0,0.0,0.0,logistic_regression
57,16515.0,2023.0,1.0,0.0,0.0,logistic_regression
58,16902.0,2023.0,1.0,0.0,0.0,logistic_regression
59,16902.0,2023.0,3.0,0.0,0.0,logistic_regression
60,17109.0,2023.0,1.0,0.0,0.0,logistic_regression
61,17109.0,2023.0,3.0,0.0,0.0,logistic_regression
62,17407.0,2023.0,2.0,0.0,0.0,logistic_regression
63,17606.0,2023.0,3.0,0.0,0.0,logistic_regression
64,17953.0,2023.0,2.0,0.0,0.0,logistic_regression
65,18781.0,2023.0,1.0,0.0,0.0,logistic_regression
66,18781.0,2023.0,2.0,0.0,0.0,logistic_regression
67,19001.0,2023.0,3.0,0.0,0.0,logistic_regression
68,19001.0,2023.0,3.0,0.0,0.0,logistic_regression
69,19001.0,2023.0,1.0,0.0,0.0,logistic_regression
70,19060.0,2023.0,3.0,0.0,0.0,logistic_regression
71,3378.0,2023.0,2.0,0.0,0.0,logistic_regression
72,3794.0,2023.0,3.0,0.0,0.0,logistic_regression
73,4180.0,2023.0,1.0,0.0,0.0,logistic_regression
74,4350.0,2023.0,1.0,0.0,0.0,logistic_regression
75,4350.0,2023.0,3.0,0.0,0.0,logistic_regression
76,4635.0,2023.0,3.0,0.0,0.0,logistic_regression
77,4641.0,2023.0,3.0,0.0,0.0,logistic_regression
78,4817.0,2023.0,1.0,0.0,0.0,logistic_regression
79,4817.0,2023.0,3.0,0.0,0.0,logistic_regression
80,4912.0,2023.0,1.0,0.0,0.0,logistic_regression
81,5755.0,2023.0,3.0,0.0,0.0,logistic_regression
82,7079.0,2023.0,2.0,0.0,0.0,logistic_regression
