,guess,ground_truth,model,year,month,user_id
0,0,1,logistic_regression,2023,3,4074
1,0,1,logistic_regression,2023,3,4074
2,0,1,logistic_regression,2023,3,4074
3,0,1,logistic_regression,2023,3,4074
4,0,1,logistic_regression,2023,1,4074
5,0,1,logistic_regression,2023,1,4074
6,0,1,logistic_regression,2023,1,4074
7,0,1,logistic_regression,2023,1,4074
8,0,1,logistic_regression,2023,1,7643
9,0,1,logistic_regression,2023,1,7643
10,0,1,logistic_regression,2023,1,7643
11,0,1,logistic_regression,2023,1,7643
12,0,1,logistic_regression,2023,1,7643
13,0,1,logistic_regression,2023,1,7643
14,0,1,logistic_regression,2023,1,7643
15,0,1,logistic_regression,2023,1,7643
16,0,1,logistic_regression,2023,1,7643
17,0,1,logistic_regression,2023,1,7643
18,0,1,logistic_regression,2023,1,7643
19,0,1,logistic_regression,2023,1,7643
20,0,1,logistic_regression,2023,1,7643
21,0,1,logistic_regression,2023,1,7643
22,0,1,logistic_regression,2023,1,7643
23,0,1,logistic_regression,2023,1,7643
24,0,1,logistic_regression,2023,3,15895
25,0,1,logistic_regression,2023,3,15895
26,0,1,logistic_regression,2023,3,15895
27,0,1,logistic_regression,2023,3,15895
28,0,1,logistic_regression,2023,3,583
29,0,1,logistic_regression,2023,3,583
30,0,1,logistic_regression,2023,3,583
31,0,1,logistic_regression,2023,3,583
32,0,1,logistic_regression,2023,1,583
33,0,1,logistic_regression,2023,1,583
34,0,1,logistic_regression,2023,1,583
35,0,1,logistic_regression,2023,1,583
36,0,1,logistic_regression,2023,2,10173
37,0,1,logistic_regression,2023,2,10173
38,0,1,logistic_regression,2023,2,10173
39,0,1,logistic_regression,2023,2,10173
40,1,1,logistic_regression,2023,1,15047
41,1,1,logistic_regression,2023,1,15047
42,1,1,logistic_regression,2023,1,15047
43,1,1,logistic_regression,2023,1,15047
44,0,0,logistic_regression,2023,2,2875
45,0,0,logistic_regression,2023,2,2875
46,0,0,logistic_regression,2023,2,2875
47,0,0,logistic_regression,2023,2,2875
48,0,0,logistic_regression,2023,3,2875
49,0,0,logistic_regression,2023,3,2875
50,0,0,logistic_regression,2023,3,2875
51,0,0,logistic_regression,2023,3,2875
52,0,0,logistic_regression,2023,3,2875
53,0,0,logistic_regression,2023,3,2875
54,0,0,logistic_regression,2023,3,2875
55,0,0,logistic_regression,2023,3,2875
56,0,0,logistic_regression,2023,3,2875
57,0,0,logistic_regression,2023,3,2875
58,0,0,logistic_regression,2023,3,2875
59,0,0,logistic_regression,2023,3,2875
60,0,0,logistic_regression,2023,3,2875
61,0,0,logistic_regression,2023,3,2875
62,0,0,logistic_regression,2023,3,2875
63,0,0,logistic_regression,2023,3,2875
64,0,0,logistic_regression,2023,2,3122
65,0,0,logistic_regression,2023,2,3122
66,0,0,logistic_regression,2023,2,3122
67,0,0,logistic_regression,2023,2,3122
68,0,0,logistic_regression,2023,3,3122
69,0,0,logistic_regression,2023,3,3122
70,0,0,logistic_regression,2023,3,3122
71,0,0,logistic_regression,2023,3,3122
72,0,0,logistic_regression,2023,1,3122
73,0,0,logistic_regression,2023,1,3122
74,0,0,logistic_regression,2023,1,3122
75,0,0,logistic_regression,2023,1,3122
76,0,0,logistic_regression,2023,3,8549
77,0,0,logistic_regression,2023,3,8549
78,0,0,logistic_regression,2023,3,8549
79,0,0,logistic_regression,2023,3,8549
80,0,0,logistic_regression,2023,3,9924
81,0,0,logistic_regression,2023,3,9924
82,0,0,logistic_regression,2023,3,9924
83,0,0,logistic_regression,2023,3,9924
84,0,0,logistic_regression,2023,1,9924
85,0,0,logistic_regression,2023,1,9924
86,0,0,logistic_regression,2023,1,9924
87,0,0,logistic_regression,2023,1,9924
88,0,0,logistic_regression,2023,2,13188
89,0,0,logistic_regression,2023,2,13188
90,0,0,logistic_regression,2023,2,13188
91,0,0,logistic_regression,2023,2,13188
92,0,0,logistic_regression,2023,3,13188
93,0,0,logistic_regression,2023,3,13188
94,0,0,logistic_regression,2023,3,13188
95,0,0,logistic_regression,2023,3,13188
96,0,0,logistic_regression,2023,3,13736
97,0,0,logistic_regression,2023,3,13736
98,0,0,logistic_regression,2023,3,13736
99,0,0,logistic_regression,2023,3,13736
100,0,0,logistic_regression,2023,3,14023
101,0,0,logistic_regression,2023,3,14023
102,0,0,logistic_regression,2023,3,14023
103,0,0,logistic_regression,2023,3,14023
104,0,0,logistic_regression,2023,1,16902
105,0,0,logistic_regression,2023,1,16902
106,0,0,logistic_regression,2023,1,16902
107,0,0,logistic_regression,2023,1,16902
108,1,0,logistic_regression,2023,3,16902
109,1,0,logistic_regression,2023,3,16902
110,1,0,logistic_regression,2023,3,16902
111,1,0,logistic_regression,2023,3,16902
112,0,0,logistic_regression,2023,2,17407
113,0,0,logistic_regression,2023,2,17407
114,0,0,logistic_regression,2023,2,17407
115,0,0,logistic_regression,2023,2,17407
116,0,0,logistic_regression,2023,2,17407
117,0,0,logistic_regression,2023,2,17407
118,0,0,logistic_regression,2023,2,17407
119,0,0,logistic_regression,2023,2,17407
120,0,0,logistic_regression,2023,2,17407
121,0,0,logistic_regression,2023,2,17407
122,0,0,logistic_regression,2023,2,17407
123,0,0,logistic_regression,2023,2,17407
124,0,0,logistic_regression,2023,2,17407
125,0,0,logistic_regression,2023,2,17407
126,0,0,logistic_regression,2023,2,17407
127,0,0,logistic_regression,2023,2,17407
128,0,0,logistic_regression,2023,3,19060
129,0,0,logistic_regression,2023,3,19060
130,0,0,logistic_regression,2023,3,19060
131,0,0,logistic_regression,2023,3,19060
132,0,0,logistic_regression,2023,2,3378
133,0,0,logistic_regression,2023,2,3378
134,0,0,logistic_regression,2023,2,3378
135,0,0,logistic_regression,2023,2,3378
136,0,0,logistic_regression,2023,1,4817
137,0,0,logistic_regression,2023,1,4817
138,0,0,logistic_regression,2023,1,4817
139,0,0,logistic_regression,2023,1,4817
140,0,0,logistic_regression,2023,3,4817
141,0,0,logistic_regression,2023,3,4817
142,0,0,logistic_regression,2023,3,4817
143,0,0,logistic_regression,2023,3,4817
144,0,0,logistic_regression,2023,3,12664
145,0,0,logistic_regression,2023,3,12664
146,0,0,logistic_regression,2023,3,12664
147,0,0,logistic_regression,2023,3,12664
148,0,0,logistic_regression,2023,3,12664
149,0,0,logistic_regression,2023,3,12664
150,0,0,logistic_regression,2023,3,12664
151,0,0,logistic_regression,2023,3,12664
152,0,0,logistic_regression,2023,3,12664
153,0,0,logistic_regression,2023,3,12664
154,0,0,logistic_regression,2023,3,12664
155,0,0,logistic_regression,2023,3,12664
156,0,0,logistic_regression,2023,3,12664
157,0,0,logistic_regression,2023,3,12664
158,0,0,logistic_regression,2023,3,12664
159,0,0,logistic_regression,2023,3,12664
160,0,0,logistic_regression,2023,1,14176
161,0,0,logistic_regression,2023,1,14176
162,0,0,logistic_regression,2023,1,14176
163,0,0,logistic_regression,2023,1,14176
164,0,0,logistic_regression,2023,3,14176
165,0,0,logistic_regression,2023,3,14176
166,0,0,logistic_regression,2023,3,14176
167,0,0,logistic_regression,2023,3,14176
168,0,0,logistic_regression,2023,2,14176
169,0,0,logistic_regression,2023,2,14176
170,0,0,logistic_regression,2023,2,14176
171,0,0,logistic_regression,2023,2,14176
172,0,0,logistic_regression,2023,2,15411
173,0,0,logistic_regression,2023,2,15411
174,0,0,logistic_regression,2023,2,15411
175,0,0,logistic_regression,2023,2,15411
176,0,0,logistic_regression,2023,3,15411
177,0,0,logistic_regression,2023,3,15411
178,0,0,logistic_regression,2023,3,15411
179,0,0,logistic_regression,2023,3,15411
180,0,0,logistic_regression,2023,1,15411
181,0,0,logistic_regression,2023,1,15411
182,0,0,logistic_regression,2023,1,15411
183,0,0,logistic_regression,2023,1,15411
184,0,0,logistic_regression,2023,3,3117
185,0,0,logistic_regression,2023,3,3117
186,0,0,logistic_regression,2023,3,3117
187,0,0,logistic_regression,2023,3,3117
188,0,0,logistic_regression,2023,2,5637
189,0,0,logistic_regression,2023,2,5637
190,0,0,logistic_regression,2023,2,5637
191,0,0,logistic_regression,2023,2,5637
192,0,0,logistic_regression,2023,3,7786
193,0,0,logistic_regression,2023,3,7786
194,0,0,logistic_regression,2023,3,7786
195,0,0,logistic_regression,2023,3,7786
196,0,0,logistic_regression,2023,3,9938
197,0,0,logistic_regression,2023,3,9938
198,0,0,logistic_regression,2023,3,9938
199,0,0,logistic_regression,2023,3,9938
200,0,0,logistic_regression,2023,2,13772
